year,month,var,value,actual_m1,needed_m1,actual_m3,needed_m3,actual_m6,needed_m6,actual_m9,needed_m9,actual_m12,needed_m12
2016,6,dou_1526weeks,1129,-44,126,-50,145,-106,149,-100,148,-256,152
2016,6,dou_27weeks,1979,94,139,-234,182,-107,189,-130,189,-149,186
2016,6,dou_514weeks,2140,-99,176,-64,199,-52,200,-71,202,-210,203
2016,6,dou_5weeks,2418,212,204,7,210,13,213,45,211,72,210
2016,6,emp,59.6,-0.03,0.19,-0.24,0.26,0.12,0.3,0.37,0.3,0.3,0.3
2016,6,empTotal,151097,68,483,-223,659,1168,760,2155,764,2376,753
2016,6,lf,158880,414,485,-405,644,1047,744,2013,750,1896,738
2016,6,lfpr,62.7,0.11,0.19,-0.32,0.26,0.05,0.3,0.28,0.3,0.07,0.3
2016,6,nilf,94517,-192,488,1034,648,414,748,59,753,837,740
2016,6,nilf_dw,502,-36,97,-83,104,-161,108,-133,106,-151,107
2016,6,nilf_ma,1779,66,173,59,184,-55,189,-143,191,-135,189
2016,6,pop,253397,223,NA,629,NA,1461,NA,2072,NA,2734,NA
2016,6,pt_er,5843,-587,294,-281,328,-179,336,-192,336,-622,334
2016,6,pt_ner,20505,-101,425,76,532,262,566,508,555,50,538
2016,6,pt_onlyFind,2062,-24,176,-92,199,-110,202,-61,201,-142,201
2016,6,pt_slackWork,3443,-447,240,-189,258,-106,263,-121,262,-437,263
2016,6,rfu_jobLeavers,828,32,95,-5,117,7,119,50,118,61,118
2016,6,rfu_jobs,3776,204,195,-59,241,-20,254,-107,255,-283,253
2016,6,rfu_newEntrants,902,37,110,124,124,45,130,70,129,-28,131
2016,6,rfu_reentrants,2268,59,169,-227,205,-208,212,-175,210,-220,211
2016,6,unempTotal,7783,347,290,-183,351,-121,374,-142,373,-479,369
2016,6,ur,4.9,0.21,0.18,-0.1,0.21,-0.11,0.23,-0.15,0.23,-0.36,0.23
2016,6,ur_HS,5,-0.04,0.38,-0.36,0.47,-0.51,0.5,-0.2,0.49,-0.34,0.48
2016,6,ur_asian,3.5,-0.61,0.7,-0.47,0.84,-0.47,0.9,-0.17,0.88,-0.32,0.86
2016,6,ur_black,8.6,0.41,0.69,-0.4,0.85,0.24,0.88,-0.66,0.9,-0.88,0.9
2016,6,ur_col,2.5,0.14,0.21,-0.06,0.27,0.08,0.28,0.08,0.28,0.03,0.28
2016,6,ur_hispanic,5.8,0.2,0.52,0.2,0.6,-0.53,0.66,-0.61,0.66,-0.85,0.65
2016,6,ur_lessThanHS,7.5,0.37,0.87,0.07,1.04,0.82,1.05,-0.24,1.1,-0.64,1.07
2016,6,ur_men20,4.5,0.19,0.23,-0.07,0.28,-0.23,0.31,-0.24,0.31,-0.35,0.3
2016,6,ur_someCol,4.2,0.29,0.32,0.05,0.4,0.03,0.42,-0.14,0.43,-0.07,0.41
2016,6,ur_teens,16,-0.05,1.64,0.14,1.86,-0.08,1.94,-0.2,1.97,-1.94,2.01
2016,6,ur_total16,4.9,0.21,0.18,-0.1,0.21,-0.11,0.23,-0.15,0.23,-0.36,0.23
2016,6,ur_total25,4,0.19,0.16,-0.13,0.2,-0.01,0.21,-0.09,0.21,-0.18,0.21
2016,6,ur_white,4.4,0.27,0.18,0.08,0.21,-0.11,0.23,-0.01,0.23,-0.25,0.23
2016,6,ur_women20,4.5,0.26,0.24,-0.15,0.29,0.04,0.31,-0.06,0.31,-0.27,0.31
2016,7,dou_1526weeks,1150,22,125,-154,150,15,146,-77,148,-32,147
2016,7,dou_27weeks,2020,41,141,-44,180,-69,190,-113,190,-170,188
2016,7,dou_514weeks,2266,126,177,135,201,-15,205,-28,207,18,204
2016,7,dou_5weeks,2160,-258,203,-385,207,-89,203,-179,205,-311,207
2016,7,emp,59.7,0.11,0.19,0.05,0.26,0.1,0.3,0.43,0.3,0.4,0.3
2016,7,empTotal,151517,419,482,513,659,972,759,2320,763,2651,753
2016,7,lf,159287,407,484,363,644,952,743,2191,750,2172,738
2016,7,lfpr,62.8,0.11,0.19,-0.02,0.26,0.07,0.3,0.35,0.3,0.18,0.29
2016,7,nilf,94333,-183,488,289,648,271,747,-113,753,572,740
2016,7,nilf_dw,591,89,100,23,107,-32,110,-74,112,-76,112
2016,7,nilf_ma,1950,171,179,235,188,-139,200,34,195,23,194
2016,7,pop,253620,223,NA,651,NA,1223,NA,2079,NA,2744,NA
2016,7,pt_er,5940,97,288,-23,328,-48,337,178,333,-360,333
2016,7,pt_ner,20717,212,426,248,533,406,568,538,557,854,536
2016,7,pt_onlyFind,1981,-81,174,-28,193,-152,199,-207,201,-231,199
2016,7,pt_slackWork,3642,199,236,-68,263,97,267,353,260,-150,265
2016,7,rfu_jobLeavers,824,-4,96,-26,117,58,117,35,118,-20,121
2016,7,rfu_jobs,3739,-37,197,-116,240,75,252,-205,256,-377,253
2016,7,rfu_newEntrants,826,-76,109,-13,124,-1,126,14,125,-1,125
2016,7,rfu_reentrants,2298,30,171,-59,203,-171,213,-138,210,-143,210
2016,7,unempTotal,7770,-13,293,-150,350,-21,372,-129,373,-479,369
2016,7,ur,4.9,-0.02,0.18,-0.11,0.21,-0.04,0.23,-0.15,0.23,-0.37,0.23
2016,7,ur_HS,5,-0.02,0.38,-0.42,0.47,-0.26,0.49,-0.23,0.49,-0.47,0.48
2016,7,ur_asian,3.8,0.34,0.68,0.04,0.84,0.16,0.9,0.28,0.89,-0.14,0.89
2016,7,ur_black,8.4,-0.21,0.69,-0.44,0.84,-0.4,0.89,-0.79,0.9,-0.71,0.89
2016,7,ur_col,2.5,-0.04,0.21,0.09,0.26,0.01,0.28,-0.01,0.28,-0.04,0.27
2016,7,ur_hispanic,5.4,-0.4,0.51,-0.78,0.61,-0.52,0.64,-0.98,0.65,-1.4,0.65
