year,month,var,value,date,horizon,actual,needed
2016,6,dou_27weeks,1979,2016-06-01,m1,94,139
2016,6,dou_27weeks,1979,2016-06-01,m3,-234,182
2016,6,dou_27weeks,1979,2016-06-01,m6,-107,189
2016,6,dou_27weeks,1979,2016-06-01,m12,-149,186
2016,6,ur_asian,3.5,2016-06-01,m1,-0.61,0.7
2016,6,ur_asian,3.5,2016-06-01,m3,-0.47,0.84
2016,6,ur_asian,3.5,2016-06-01,m6,-0.47,0.9
2016,6,ur_asian,3.5,2016-06-01,m12,-0.32,0.86
2016,6,ur_black,8.6,2016-06-01,m1,0.41,0.69
2016,6,ur_black,8.6,2016-06-01,m3,-0.4,0.85
2016,6,ur_black,8.6,2016-06-01,m6,0.24,0.88
2016,6,ur_black,8.6,2016-06-01,m12,-0.88,0.9
2016,6,ur_teens,16,2016-06-01,m1,-0.05,1.64
2016,6,ur_teens,16,2016-06-01,m3,0.14,1.86
2016,6,ur_teens,16,2016-06-01,m6,-0.08,1.94
2016,6,ur_teens,16,2016-06-01,m12,-1.94,2.01
2016,6,ur_total16,4.9,2016-06-01,m1,0.21,0.18
2016,6,ur_total16,4.9,2016-06-01,m3,-0.1,0.21
2016,6,ur_total16,4.9,2016-06-01,m6,-0.11,0.23
2016,6,ur_total16,4.9,2016-06-01,m12,-0.36,0.23
2016,7,dou_27weeks,2020,2016-07-01,m1,41,141
2016,7,dou_27weeks,2020,2016-07-01,m3,-44,180
2016,7,dou_27weeks,2020,2016-07-01,m6,-69,190
2016,7,dou_27weeks,2020,2016-07-01,m12,-170,188
2016,7,ur_asian,3.8,2016-07-01,m1,0.34,0.68
2016,7,ur_asian,3.8,2016-07-01,m3,0.04,0.84
2016,7,ur_asian,3.8,2016-07-01,m6,0.16,0.9
2016,7,ur_asian,3.8,2016-07-01,m12,-0.14,0.89
2016,7,ur_black,8.4,2016-07-01,m1,-0.21,0.69
2016,7,ur_black,8.4,2016-07-01,m3,-0.44,0.84
2016,7,ur_black,8.4,2016-07-01,m6,-0.4,0.89
2016,7,ur_black,8.4,2016-07-01,m12,-0.71,0.89
2016,7,ur_teens,15.6,2016-07-01,m1,-0.35,1.64
2016,7,ur_teens,15.6,2016-07-01,m3,-0.38,1.85
2016,7,ur_teens,15.6,2016-07-01,m6,-0.32,1.93
2016,7,ur_teens,15.6,2016-07-01,m12,-0.65,1.98
2016,7,ur_total16,4.9,2016-07-01,m1,-0.02,0.18
