date,total,black,asian,teens
2004-01-01,107262,10049,4343,7637
2004-02-01,107825,10038,4427,7722
2004-03-01,106618,9866,4297,7646
2004-04-01,106836,9782,4327,7562
2004-05-01,107064,9816,4387,7775
2004-06-01,106380,9939,4419,7810
2004-07-01,105389,9746,4535,7764
2004-08-01,106479,10022,4566,7811
2004-09-01,106676,10001,4639,7650
2004-10-01,107634,10025,4638,7662
2004-11-01,108300,10188,4604,7645
2004-12-01,107220,9896,4544,7584
2005-01-01,107730,9941,4586,7647
2005-02-01,106556,9845,4734,7549
2005-03-01,105224,9660,4633,7472
2005-04-01,106437,9722,4753,7602
2005-05-01,106717,9844,4676,7710
2005-06-01,106849,9927,4672,7716
2005-07-01,107051,9894,4823,7751
2005-08-01,106967,9757,4841,7777
2005-09-01,105950,9547,4927,7555
2005-10-01,107006,9804,4986,7682
2005-11-01,106785,9813,4944,7709
2005-12-01,105780,9743,4792,7554
2006-01-01,106083,10011,4796,7669
2006-02-01,105675,9997,4806,7682
2006-03-01,104664,9838,4726,7627
2006-04-01,105876,9907,4911,7703
2006-05-01,105640,9934,4921,7754
2006-06-01,105578,9950,4886,7654
2006-07-01,106369,9988,5021,7704
2006-08-01,107116,10111,5165,7801
2006-09-01,106328,9968,5083,7545
2006-10-01,106367,9951,5103,7528
2006-11-01,106315,9963,5117,7637
2006-12-01,105682,9903,4925,7566
2007-01-01,104602,9911,4948,7564
2007-02-01,104211,9936,4768,7545
2007-03-01,103842,9988,4776,7525
2007-04-01,105500,10271,4934,7679
2007-05-01,106102,10379,4980,7769
2007-06-01,105805,10368,5020,7711
2007-07-01,105495,10275,5040,7644
2007-08-01,105316,10221,4982,7574
2007-09-01,105187,10131,5100,7424
2007-10-01,104775,10112,5166,7432
2007-11-01,105008,10055,5190,7536
2007-12-01,104537,9963,5191,7343
2008-01-01,104969,10180,5237,7549
2008-02-01,105030,10237,4990,7546
2008-03-01,104156,10202,4906,7413
2008-04-01,105231,10334,4972,7608
2008-05-01,105495,10282,4996,7675
2008-06-01,105622,10279,5161,7628
2008-07-01,105553,10250,5103,7588
2008-08-01,105572,10090,5154,7584
2008-09-01,104608,9925,5182,7333
2008-10-01,104582,9963,5275,7409
2008-11-01,103970,9939,5316,7357
2008-12-01,102831,9739,5261,7279
2009-01-01,105005,10101,5387,7516
2009-02-01,105630,10151,5271,7622
2009-03-01,105508,10202,5186,7704
2009-04-01,106952,10454,5243,7777
2009-05-01,107055,10408,5205,7745
2009-06-01,106846,10448,5296,7677
2009-07-01,106568,10367,5167,7583
2009-08-01,106614,10251,5286,7543
2009-09-01,105947,10149,5259,7250
2009-10-01,105776,10167,5343,7308
2009-11-01,106323,10458,5466,7330
2009-12-01,105410,10441,5398,7333
2010-01-01,106220,10578,5474,7464
2010-02-01,106949,10722,5481,7519
2010-03-01,106214,10731,5460,7399
2010-04-01,107631,10954,5496,7503
2010-05-01,107112,10928,5420,7547
2010-06-01,106661,10738,5384,7524
2010-07-01,106655,10684,5368,7549
2010-08-01,106500,10573,5518,7400
2010-09-01,105845,10476,5477,7134
2010-10-01,106033,10531,5636,7156
2010-11-01,105620,10564,5555,7188
2010-12-01,105759,10688,5547,7275
2011-01-01,105886,10843,5779,7276
2011-02-01,105235,10680,5709,7205
2011-03-01,104446,10527,5770,7114
2011-04-01,105463,10600,5759,7114
2011-05-01,106183,10733,5667,7294
2011-06-01,105308,10609,5554,7190
2011-07-01,105399,10504,5624,7381
2011-08-01,105476,10681,5745,7354
2011-09-01,105640,10578,5724,7160
2011-10-01,106292,10669,5821,7192
2011-11-01,105209,10584,5680,6954
2011-12-01,105070,10522,5722,6994
2012-01-01,104756,10580,5806,7016
2012-02-01,104547,10414,5875,7023
2012-03-01,103899,10397,5897,6953
2012-04-01,104878,10469,5904,6941
2012-05-01,104824,10419,5966,6950
2012-06-01,105257,10570,5841,7047
2012-07-01,105282,10464,5858,7106
2012-08-01,105026,10462,5851,6999
2012-09-01,104782,10476,5842,6853
2012-10-01,104813,10302,5849,6726
2012-11-01,105547,10531,5800,6650
2012-12-01,105119,10560,5713,6752
2013-01-01,105530,10601,5805,6904
2013-02-01,104212,10300,5715,6909
2013-03-01,103424,10447,5785,6875
2013-04-01,104972,10509,6041,6952
2013-05-01,105494,10595,6105,7070
2013-06-01,104496,10576,6046,6911
2013-07-01,103968,10422,6001,6859
2013-08-01,104292,10582,5900,6763
2013-09-01,104169,10612,5980,6628
2013-10-01,104562,10710,6032,6508
2013-11-01,104152,10487,6038,6411
2013-12-01,104392,10467,5937,6541
2014-01-01,104704,10418,6007,6710
2014-02-01,104144,10265,6019,6753
2014-03-01,102979,10417,5921,6702
2014-04-01,103738,10458,5972,6700
2014-05-01,104612,10552,5989,6921
2014-06-01,104730,10587,6036,6910
2014-07-01,105085,10874,6093,6964
2014-08-01,105530,10880,6135,6940
2014-09-01,105843,10966,6112,6716
2014-10-01,107516,11250,6141,6710
2014-11-01,107412,11331,6188,6718
2014-12-01,105518,11102,6123,6680
2015-01-01,106111,11126,6206,6817
2015-02-01,104399,10897,6289,6671
2015-03-01,103048,10655,5987,6595
2015-04-01,104993,11057,6004,6680
2015-05-01,104350,11161,5874,6652
2015-06-01,102818,11063,5700,6627
2015-07-01,102653,11276,5874,6532
2015-08-01,103340,11268,6057,6600
2015-09-01,103217,11197,5989,6446
2015-10-01,103938,11162,6016,6535
2015-11-01,103958,11058,6010,6525
2015-12-01,103037,11021,5787,6500
2016-01-01,103642,10992,5893,6530
2016-02-01,102941,10916,5879,6364
2016-03-01,100826,10638,5714,6337
2016-04-01,102411,10738,5887,6472
2016-05-01,103137,10856,5960,6523
2016-06-01,102979,10845,6048,6649
2016-07-01,103659,11139,6162,6636
2016-08-01,105380,11365,6327,6757
2016-09-01,105751,11399,6440,6771
2016-10-01,105241,11252,6410,6638
2016-11-01,104926,10963,6300,6500
2016-12-01,103273,10780,6088,6410
2017-01-01,103542,10885,6114,6350
2017-02-01,103470,10739,6068,6323
2017-03-01,102039,10659,6129,6362
2017-04-01,102707,10780,6179,6351
2017-05-01,101619,10486,5943,6362
2017-06-01,101152,10425,5932,6361
2017-07-01,101015,10571,6001,6346
2017-08-01,102315,10772,6089,6441
2017-09-01,102615,11043,6236,6408
2017-10-01,102690,11048,6389,6534
2017-11-01,102638,10822,6220,6385
2017-12-01,101325,10731,6122,6306
2018-01-01,100717,10298,6123,6156
2018-02-01,99855,10148,6027,6042
2018-03-01,98632,9972,5975,6013
2018-04-01,100116,10216,5959,6178
2018-05-01,99427,10264,5886,6204
2018-06-01,98766,10139,5929,6179
2018-07-01,98017,10119,5899,6119
2018-08-01,98482,10083,6041,6126
2018-09-01,99483,10287,6265,6199
